--- Starting Cloud Landslide Mapping Pipeline ---
Using device: cuda
Total Samples: 3799 | Train: 3229 | Val: 570

--- Computing Normalization Statistics From Training Split ---
/usr/local/lib/python3.12/dist-packages/albumentations/core/validation.py:114: UserWarning: ShiftScaleRotate is a special case of Affine transform. Please use Affine transform instead.
  original_init(self, **validated_kwargs)
Per-channel mean: tensor([ 0.0479, -0.0922,  0.1729, -0.0100,  0.0012,  0.0004, -0.1233, -0.1005,
        -0.2608, -0.2118, -0.2797, -0.2763, -0.2837, -0.1967, -0.2824, -0.2755,
         0.3185])
Per-channel std : tensor([1.1740, 1.0312, 0.9888, 0.9612, 0.3528, 0.9493, 0.9230, 0.9432, 1.1291,
        1.0505, 1.1479, 1.1364, 1.1073, 1.1119, 1.2244, 1.1816, 1.3014])
Epoch [44/65] | Train Loss: 0.1918 | Val Loss: 0.1937  IoU: 0.5869  F1: 0.7397  Precision: 0.7175  Recall: 0.7633| LR: 0.000025
Epoch [45/65] | Train Loss: 0.1961 | Val Loss: 0.1930  IoU: 0.5829  F1: 0.7365  Precision: 0.7404  Recall: 0.7327| LR: 0.000013
Epoch [46/65] | Train Loss: 0.1972 | Val Loss: 0.1928  IoU: 0.5905  F1: 0.7425  Precision: 0.7414  Recall: 0.7437| LR: 0.000013
Epoch [47/65] | Train Loss: 0.1965 | Val Loss: 0.1885  IoU: 0.5887  F1: 0.7411  Precision: 0.7145  Recall: 0.7697| LR: 0.000013
Epoch [48/65] | Train Loss: 0.1960 | Val Loss: 0.1883  IoU: 0.5894  F1: 0.7416  Precision: 0.7440  Recall: 0.7392| LR: 0.000013
Epoch [49/65] | Train Loss: 0.1920 | Val Loss: 0.1864  IoU: 0.5881  F1: 0.7407  Precision: 0.7233  Recall: 0.7589| LR: 0.000013
Epoch [50/65] | Train Loss: 0.1930 | Val Loss: 0.1962  IoU: 0.5780  F1: 0.7326  Precision: 0.7155  Recall: 0.7506| LR: 0.000013
Epoch [51/65] | Train Loss: 0.1926 | Val Loss: 0.1889  IoU: 0.5836  F1: 0.7370  Precision: 0.6995  Recall: 0.7788| LR: 0.000013
Epoch [52/65] | Train Loss: 0.1898 | Val Loss: 0.1871  IoU: 0.5847  F1: 0.7379  Precision: 0.7018  Recall: 0.7779| LR: 0.000013
Epoch [53/65] | Train Loss: 0.1890 | Val Loss: 0.1919  IoU: 0.5821  F1: 0.7358  Precision: 0.6968  Recall: 0.7796| LR: 0.000013
Epoch [54/65] | Train Loss: 0.1925 | Val Loss: 0.1895  IoU: 0.5847  F1: 0.7379  Precision: 0.6980  Recall: 0.7827| LR: 0.000013
Epoch [55/65] | Train Loss: 0.1907 | Val Loss: 0.1897  IoU: 0.5889  F1: 0.7412  Precision: 0.7380  Recall: 0.7445| LR: 0.000006
Epoch [56/65] | Train Loss: 0.1909 | Val Loss: 0.1901  IoU: 0.5880  F1: 0.7406  Precision: 0.7104  Recall: 0.7734| LR: 0.000006
Epoch [57/65] | Train Loss: 0.1930 | Val Loss: 0.1878  IoU: 0.5831  F1: 0.7366  Precision: 0.6892  Recall: 0.7911| LR: 0.000006
Epoch [58/65] | Train Loss: 0.1882 | Val Loss: 0.1870  IoU: 0.5880  F1: 0.7406  Precision: 0.7062  Recall: 0.7785| LR: 0.000006
Epoch [59/65] | Train Loss: 0.1883 | Val Loss: 0.1832  IoU: 0.5895  F1: 0.7418  Precision: 0.7086  Recall: 0.7782| LR: 0.000006
Epoch [60/65] | Train Loss: 0.1912 | Val Loss: 0.1941  IoU: 0.5837  F1: 0.7371  Precision: 0.7167  Recall: 0.7587| LR: 0.000006
Epoch [61/65] | Train Loss: 0.1868 | Val Loss: 0.1966  IoU: 0.5927  F1: 0.7443  Precision: 0.7285  Recall: 0.7608| LR: 0.000006
Epoch [62/65] | Train Loss: 0.1897 | Val Loss: 0.1893  IoU: 0.5924  F1: 0.7440  Precision: 0.7107  Recall: 0.7806| LR: 0.000006
Epoch [63/65] | Train Loss: 0.1909 | Val Loss: 0.1893  IoU: 0.5908  F1: 0.7428  Precision: 0.7272  Recall: 0.7591| LR: 0.000006
Epoch [64/65] | Train Loss: 0.1906 | Val Loss: 0.1953  IoU: 0.5908  F1: 0.7428  Precision: 0.7172  Recall: 0.7703| LR: 0.000006
Epoch [65/65] | Train Loss: 0.1908 | Val Loss: 0.1873  IoU: 0.5916  F1: 0.7434  Precision: 0.7086  Recall: 0.7818| LR: 0.000003

Training Complete! The best model achieved a Val F1 of 0.7434 and is saved at: /content/drive/MyDrive/best_unet_model.pth
